theta,accuracy,precision,recall,f1,auc,tp,fp,fn,tn,real_flim,pred_flim,project
0.0,0.6548881036513545,0.9295774647887324,0.676056338028169,0.7828020756115641,0.5439105219552609,528,40,253,28,781,568,Time
0.05,0.6548881036513545,0.9295774647887324,0.676056338028169,0.7828020756115641,0.5439105219552609,528,40,253,28,781,568,Time
0.1,0.6442873969375736,0.9284436493738819,0.6645326504481434,0.7746268656716417,0.5381486781652481,519,40,262,28,781,559,Time
0.15000000000000002,0.6442873969375736,0.9284436493738819,0.6645326504481434,0.7746268656716417,0.5381486781652481,519,40,262,28,781,559,Time
0.2,0.45936395759717313,0.9548022598870056,0.4327784891165173,0.5955947136563877,0.5987421857347293,338,16,443,52,781,354,Time
0.25,0.45936395759717313,0.9548022598870056,0.4327784891165173,0.5955947136563877,0.5987421857347293,338,16,443,52,781,354,Time
0.30000000000000004,0.45700824499411075,0.9545454545454546,0.43021766965428937,0.5931156222418358,0.5974617760036152,336,16,445,52,781,352,Time
0.35000000000000003,0.45700824499411075,0.9545454545454546,0.43021766965428937,0.5931156222418358,0.5974617760036152,336,16,445,52,781,352,Time
0.4,0.31919905771495877,0.967741935483871,0.26888604353393086,0.42084168336673344,0.5829724335316713,210,7,571,61,781,217,Time
0.45,0.31919905771495877,0.967741935483871,0.26888604353393086,0.42084168336673344,0.5829724335316713,210,7,571,61,781,217,Time
0.5,0.31448763250883394,0.9671361502347418,0.26376440460947503,0.41448692152917505,0.5804116140694433,206,7,575,61,781,213,Time
0.55,0.31448763250883394,0.9671361502347418,0.26376440460947503,0.41448692152917505,0.5804116140694433,206,7,575,61,781,213,Time
0.6000000000000001,0.19434628975265017,0.970873786407767,0.12804097311139565,0.22624434389140272,0.541961663026286,100,3,681,65,781,103,Time
0.65,0.19434628975265017,0.970873786407767,0.12804097311139565,0.22624434389140272,0.541961663026286,100,3,681,65,781,103,Time
0.7000000000000001,0.19081272084805653,0.97,0.12419974391805377,0.22020431328036322,0.5400410484296151,97,3,684,65,781,100,Time
0.75,0.19081272084805653,0.97,0.12419974391805377,0.22020431328036322,0.5400410484296151,97,3,684,65,781,100,Time
0.8,0.10482921083627797,1.0,0.026888604353393086,0.05236907730673317,0.5134443021766966,21,0,760,68,781,21,Time
0.8500000000000001,0.10482921083627797,1.0,0.026888604353393086,0.05236907730673317,0.5134443021766966,21,0,760,68,781,21,Time
0.9,0.10482921083627797,1.0,0.026888604353393086,0.05236907730673317,0.5134443021766966,21,0,760,68,781,21,Time
0.9500000000000001,0.10482921083627797,1.0,0.026888604353393086,0.05236907730673317,0.5134443021766966,21,0,760,68,781,21,Time
1.0,0.0800942285041225,0.0,0.0,0.0,0.5,0,0,781,68,781,0,Time
