theta,accuracy,precision,recall,f1,auc,tp,fp,fn,tn,real_flim,pred_flim,project
0.4,0.3916967509025271,0.984375,0.361376673040153,0.5286713286713287,0.6323012397458828,189,3,334,28,523,192,Chart
0.8,0.05225225225225225,1.0,0.013133208255159476,0.025925925925925925,0.5065666041275797,14,0,1052,44,1066,14,Cli
0.8,0.025748670584942627,1.0,0.010517339397384877,0.02081575246132208,0.5052586696986925,37,0,3481,55,3518,37,Closure
0.6000000000000001,0.0782122905027933,0.9772727272727273,0.05481198215423837,0.10380205190102595,0.5035964672675953,86,2,1483,40,1569,88,Codec
0.0,0.5321100917431193,1.0,0.5277777777777778,0.6909090909090909,0.7638888888888888,57,0,51,1,108,57,Compress
0.6000000000000001,0.08908045977011494,1.0,0.05654761904761905,0.10704225352112676,0.5282738095238095,19,0,317,12,336,19,Csv
0.5,0.25164113785557984,1.0,0.22272727272727272,0.3643122676579926,0.6113636363636363,98,0,342,17,440,98,Gson
0.1,0.5083081570996979,0.9779735682819384,0.511520737327189,0.6717095310136157,0.4148512777545036,666,15,636,7,1302,681,JacksonCore
0.8,0.029495380241648897,1.0,0.009071117561683599,0.017979144192736426,0.5045355587808418,25,0,2731,58,2756,25,JacksonDatabind
0.2,0.23,1.0,0.18947368421052632,0.3185840707964602,0.5947368421052631,18,0,77,5,95,18,JacksonXml
0.8,0.046052631578947366,1.0,0.026845637583892617,0.05228758169934641,0.5134228187919463,12,0,435,9,447,12,Jsoup
0.6000000000000001,0.1421121251629726,0.975609756097561,0.10869565217391304,0.19559902200489,0.5220897615708275,160,4,1312,58,1472,164,Lang
0.8,0.05676004872107186,0.9894736842105263,0.023707440100882726,0.04630541871921182,0.5082822914790128,94,1,3871,139,3965,95,Math
0.6000000000000001,0.2,1.0,0.09278350515463918,0.16981132075471697,0.5463917525773196,9,0,88,13,97,9,Mockito
0.8,0.10482921083627797,1.0,0.026888604353393086,0.05236907730673317,0.5134443021766966,21,0,760,68,781,21,Time
