project,version,mutant_id,y_true,n_preds,flim_ratio,Sus
Time,1,src-main-java-org-joda-time-field-UnsupportedDurationField-16-1,True,5,0.0,0.196116135138184
Time,1,src-main-java-org-joda-time-field-UnsupportedDurationField-16-5,True,5,0.0,0.196116135138184
Time,1,src-main-java-org-joda-time-field-UnsupportedDurationField-17-5,True,5,0.2,0.196116135138184
Time,1,src-main-java-org-joda-time-field-UnsupportedDurationField-19-0,True,5,0.0,0.196116135138184
Time,2,src-main-java-org-joda-time-Partial-134-2,True,5,0.0,0.1856953381770519
Time,2,src-main-java-org-joda-time-Partial-135-0,True,5,0.0,0.1825741858350554
Time,2,src-main-java-org-joda-time-Partial-135-11,True,5,0.2,0.1889822365046136
Time,2,src-main-java-org-joda-time-Partial-135-2,True,5,0.0,0.1825741858350554
Time,2,src-main-java-org-joda-time-Partial-136-0,True,5,0.0,0.1889822365046136
Time,2,src-main-java-org-joda-time-Partial-136-2,True,5,0.0,0.196116135138184
Time,2,src-main-java-org-joda-time-Partial-136-21,True,5,0.2,0.1889822365046136
Time,2,src-main-java-org-joda-time-Partial-137-0,True,5,0.0,0.1889822365046136
Time,2,src-main-java-org-joda-time-Partial-137-2,True,5,0.2,0.1889822365046136
Time,2,src-main-java-org-joda-time-Partial-137-7,True,5,0.0,0.1889822365046136
Time,2,src-main-java-org-joda-time-Partial-138-0,True,5,0.4,0.242535625036333
Time,2,src-main-java-org-joda-time-Partial-138-2,True,5,0.2,0.196116135138184
Time,2,src-main-java-org-joda-time-Partial-138-3,True,5,0.2,0.1889822365046136
Time,2,src-main-java-org-joda-time-Partial-153-27,True,5,0.2,0.1889822365046136
Time,2,src-main-java-org-joda-time-Partial-154-11,True,5,0.4,0.1889822365046136
Time,2,src-main-java-org-joda-time-Partial-154-19,True,5,0.2,0.1889822365046136
Time,2,src-main-java-org-joda-time-Partial-155-20,True,5,0.2,0.1924500897298753
Time,2,src-main-java-org-joda-time-Partial-157-56,True,5,0.2,0.2132007163556104
Time,2,src-main-java-org-joda-time-Partial-158-14,True,5,0.2,0.1889822365046136
Time,2,src-main-java-org-joda-time-Partial-159-3,True,5,0.0,0.1924500897298753
Time,2,src-main-java-org-joda-time-Partial-159-9,True,5,0.0,0.1924500897298753
Time,2,src-main-java-org-joda-time-field-UnsupportedDurationField-16-1,True,5,0.0,0.2
Time,2,src-main-java-org-joda-time-field-UnsupportedDurationField-16-5,True,5,0.2,0.2
Time,2,src-main-java-org-joda-time-field-UnsupportedDurationField-17-5,True,5,0.0,0.2
Time,2,src-main-java-org-joda-time-field-UnsupportedDurationField-19-0,True,5,0.2,0.2
Time,2,src-main-java-org-joda-time-field-UnsupportedDurationField-28-0,True,5,0.0,0.2294157338705617
Time,2,src-main-java-org-joda-time-field-UnsupportedDurationField-58-0,False,5,0.2,0.7071067811865475
Time,2,src-main-java-org-joda-time-field-UnsupportedDurationField-58-3,False,5,0.4,0.7071067811865475
Time,3,src-main-java-org-joda-time-MutableDateTime-100-11,True,5,0.4,0.1883108942886774
Time,3,src-main-java-org-joda-time-MutableDateTime-100-13,True,3,1.0,0.1883108942886774
Time,3,src-main-java-org-joda-time-MutableDateTime-136-2,True,5,0.4,0.2
Time,3,src-main-java-org-joda-time-MutableDateTime-150-12,False,0,,0.3162277660168379
Time,3,src-main-java-org-joda-time-MutableDateTime-154-13,False,0,,0.3162277660168379
Time,3,src-main-java-org-joda-time-MutableDateTime-162-9,False,0,,0.3162277660168379
Time,3,src-main-java-org-joda-time-MutableDateTime-166-12,False,5,0.0,0.6201736729460423
Time,3,src-main-java-org-joda-time-MutableDateTime-166-9,False,5,0.0,0.6201736729460423
Time,4,src-main-java-org-joda-time-Partial-133-0,True,5,0.2,0.1924500897298753
Time,4,src-main-java-org-joda-time-Partial-133-11,True,5,0.2,0.2
Time,4,src-main-java-org-joda-time-Partial-133-2,True,5,0.2,0.1924500897298753
Time,4,src-main-java-org-joda-time-Partial-134-0,True,5,0.0,0.2
Time,4,src-main-java-org-joda-time-Partial-134-21,True,5,0.4,0.2
Time,4,src-main-java-org-joda-time-Partial-135-0,True,5,0.2,0.2
Time,4,src-main-java-org-joda-time-Partial-135-2,True,5,0.0,0.2
Time,4,src-main-java-org-joda-time-Partial-135-7,True,5,0.4,0.2
Time,4,src-main-java-org-joda-time-Partial-136-3,True,5,0.0,0.2
Time,4,src-main-java-org-joda-time-Partial-140-15,True,5,0.0,0.2041241452319315
Time,4,src-main-java-org-joda-time-Partial-140-2,True,5,0.2,0.2041241452319315
Time,4,src-main-java-org-joda-time-Partial-151-27,True,5,0.2,0.2
Time,4,src-main-java-org-joda-time-Partial-152-11,True,5,0.4,0.2
Time,4,src-main-java-org-joda-time-Partial-153-13,True,5,0.2,0.2182178902359924
Time,4,src-main-java-org-joda-time-Partial-153-18,True,5,0.2,0.2
Time,4,src-main-java-org-joda-time-Partial-153-5,True,5,0.2,0.2182178902359924
Time,4,src-main-java-org-joda-time-Partial-155-27,True,5,0.0,0.3779644730092272
Time,4,src-main-java-org-joda-time-Partial-156-14,True,5,0.0,0.2
Time,4,src-main-java-org-joda-time-Partial-157-14,False,5,0.2,0.2
Time,5,src-main-java-org-joda-time-Period-346-0,True,5,0.0,0.4330127018922194
Time,5,src-main-java-org-joda-time-Period-346-7,True,5,0.4,0.5773502691896257
Time,5,src-main-java-org-joda-time-Period-350-2,False,5,0.2,0.2182178902359924
Time,5,src-main-java-org-joda-time-Period-350-27,False,5,0.2,0.2182178902359924
Time,5,src-main-java-org-joda-time-Period-352-0,False,5,0.2,0.5773502691896258
Time,5,src-main-java-org-joda-time-Period-352-4,False,5,0.2,0.5773502691896258
Time,5,src-main-java-org-joda-time-Period-353-11,False,5,0.0,0.5222329678670935
Time,5,src-main-java-org-joda-time-Period-353-8,False,5,0.2,0.5773502691896257
Time,6,src-main-java-org-joda-time-chrono-GJChronology-102-0,True,5,0.2,0.1975459193299179
Time,6,src-main-java-org-joda-time-chrono-GJChronology-107-0,True,5,0.0,0.3321819194149599
Time,6,src-main-java-org-joda-time-chrono-GJChronology-107-17,True,5,0.2,0.3321819194149599
Time,6,src-main-java-org-joda-time-chrono-GJChronology-107-19,True,5,0.0,0.3321819194149599
Time,6,src-main-java-org-joda-time-chrono-GJChronology-109-11,True,5,0.0,0.3321819194149599
Time,6,src-main-java-org-joda-time-chrono-GJChronology-110-11,True,5,0.2,0.3321819194149599
Time,6,src-main-java-org-joda-time-chrono-GJChronology-112-14,True,5,0.2,0.4961389383568339
Time,6,src-main-java-org-joda-time-chrono-GJChronology-112-15,True,5,0.0,0.4961389383568339
Time,6,src-main-java-org-joda-time-chrono-GJChronology-113-11,True,5,0.4,0.4961389383568339
Time,6,src-main-java-org-joda-time-chrono-GJChronology-114-2,True,5,0.2,0.4961389383568339
