theta,accuracy,precision,recall,f1,auc,tp,fp,fn,tn,real_flim,pred_flim,project
0.0,0.7382075471698113,0.9419152276295133,0.7643312101910829,0.8438818565400844,0.5885148114447478,600,37,185,26,785,637,Time
0.05,0.7382075471698113,0.9419152276295133,0.7643312101910829,0.8438818565400844,0.5885148114447478,600,37,185,26,785,637,Time
0.1,0.7382075471698113,0.9419152276295133,0.7643312101910829,0.8438818565400844,0.5885148114447478,600,37,185,26,785,637,Time
0.15000000000000002,0.7382075471698113,0.9419152276295133,0.7643312101910829,0.8438818565400844,0.5885148114447478,600,37,185,26,785,637,Time
0.2,0.5283018867924528,0.9572446555819477,0.513375796178344,0.6683250414593698,0.6138307552320291,403,18,382,45,785,421,Time
0.25,0.5283018867924528,0.9572446555819477,0.513375796178344,0.6683250414593698,0.6138307552320291,403,18,382,45,785,421,Time
0.30000000000000004,0.5283018867924528,0.9572446555819477,0.513375796178344,0.6683250414593698,0.6138307552320291,403,18,382,45,785,421,Time
0.35000000000000003,0.5283018867924528,0.9572446555819477,0.513375796178344,0.6683250414593698,0.6138307552320291,403,18,382,45,785,421,Time
0.4,0.35495283018867924,0.96484375,0.3146496815286624,0.4745437079731028,0.5858962693357598,247,9,538,54,785,256,Time
0.45,0.35495283018867924,0.96484375,0.3146496815286624,0.4745437079731028,0.5858962693357598,247,9,538,54,785,256,Time
0.5,0.35495283018867924,0.96484375,0.3146496815286624,0.4745437079731028,0.5858962693357598,247,9,538,54,785,256,Time
0.55,0.35495283018867924,0.96484375,0.3146496815286624,0.4745437079731028,0.5858962693357598,247,9,538,54,785,256,Time
0.6000000000000001,0.18867924528301888,0.970873786407767,0.12738853503184713,0.22522522522522523,0.5398847437063997,100,3,685,60,785,103,Time
0.65,0.18867924528301888,0.970873786407767,0.12738853503184713,0.22522522522522523,0.5398847437063997,100,3,685,60,785,103,Time
0.7000000000000001,0.18867924528301888,0.970873786407767,0.12738853503184713,0.22522522522522523,0.5398847437063997,100,3,685,60,785,103,Time
0.75,0.18867924528301888,0.970873786407767,0.12738853503184713,0.22522522522522523,0.5398847437063997,100,3,685,60,785,103,Time
0.8,0.09787735849056604,1.0,0.025477707006369428,0.049689440993788817,0.5127388535031847,20,0,765,63,785,20,Time
0.8500000000000001,0.09787735849056604,1.0,0.025477707006369428,0.049689440993788817,0.5127388535031847,20,0,765,63,785,20,Time
0.9,0.09787735849056604,1.0,0.025477707006369428,0.049689440993788817,0.5127388535031847,20,0,765,63,785,20,Time
0.9500000000000001,0.09787735849056604,1.0,0.025477707006369428,0.049689440993788817,0.5127388535031847,20,0,765,63,785,20,Time
1.0,0.07429245283018868,0.0,0.0,0.0,0.5,0,0,785,63,785,0,Time
