theta,accuracy,precision,recall,f1,auc,tp,fp,fn,tn,real_flim,pred_flim,project
0.8,0.05263157894736842,1.0,0.009900990099009901,0.0196078431372549,0.504950495049505,9,0,900,41,909,9,Chart
0.8,0.08333333333333333,1.0,0.019005847953216373,0.03730272596843615,0.5095029239766082,13,0,671,48,684,13,Cli
0.8,0.022694696607740088,1.0,0.010401548137397194,0.02058893943021307,0.5052007740686986,86,0,8182,104,8268,86,Closure
0.8,0.08469945355191257,1.0,0.02046783625730994,0.04011461318051576,0.5102339181286549,7,0,335,24,342,7,Codec
0.6000000000000001,0.2631578947368421,1.0,0.17647058823529413,0.3,0.5882352941176471,3,0,14,2,17,3,Collections
0.8,0.047488333790831734,1.0,0.02855543113101904,0.05552531301034295,0.5142777155655095,102,0,3470,71,3572,102,Compress
0.8,0.076158940397351,1.0,0.021052631578947368,0.041237113402061855,0.5105263157894737,6,0,279,17,285,6,Csv
0.30000000000000004,0.6463547334058759,0.9943566591422122,0.6461312797946461,0.7832851744832184,0.6563989732306564,1762,10,965,20,2727,1772,Gson
0.6000000000000001,0.047876447876447875,1.0,0.03218210361067504,0.0623574144486692,0.5160910518053375,41,0,1233,21,1274,41,JacksonCore
0.8,0.04096109839816934,1.0,0.008985575786237881,0.01781110850714788,0.5044927878931189,38,0,4191,141,4229,38,JacksonDatabind
0.8,0.07804878048780488,1.0,0.010471204188481676,0.02072538860103627,0.5052356020942408,2,0,189,14,191,2,JacksonXml
0.6000000000000001,0.17565127676038172,0.9924242424242424,0.14101184068891282,0.2469368520263902,0.5580835600960092,524,4,3192,157,3716,528,Jsoup
0.2,0.47,0.978021978021978,0.46113989637305697,0.6267605633802817,0.5877128053293855,178,4,208,10,386,182,JxPath
0.8,0.08070315621254495,0.9821428571428571,0.045662100456621,0.0872669575565252,0.51219275235597,110,2,2299,92,2409,112,Lang
0.0,0.6706231454005934,0.9764025629004532,0.6787615426398697,0.8008203024865419,0.512540944480108,6248,151,2957,80,9205,6399,Math
0.8,0.168141592920354,1.0,0.005291005291005291,0.010526315789473684,0.5026455026455027,1,0,188,37,189,1,Mockito
0.8,0.09787735849056604,1.0,0.025477707006369428,0.049689440993788817,0.5127388535031847,20,0,765,63,785,20,Time
